94 0 0 0 0 2 0 3 0 0 
0 3 0 0 0 0 0 0 0 0 
0 0 4 0 0 0 0 0 0 0 
0 0 0 2 0 2 0 0 0 0 
0 0 0 0 3 0 0 0 0 0 
0 0 0 0 0 13 0 0 0 0 
0 0 0 0 0 0 0 2 0 0 
3 0 0 0 0 1 1 48 0 0 
0 0 0 0 0 0 0 0 3 0 
0 0 0 0 0 0 0 0 0 1 

QueryTerm1 QueryTerm2 DiceCoefficient MIM EMIM ChiSquare
canada candidates 0.0 0.0 0 7.588085825438693e-09
canada collections 0.0 0.0 0 7.516500110104367e-09
canada competitive 0.0 0.0 0 7.444914394770038e-09
canada composition 0.0 0.0 0 7.444914394770038e-09
canada very 0.0009293680297397769 1.727742359059417e-06 3.81666855066276 2.5064236337055093e-06
canada couples 0.0 0.0 0 7.731257256107347e-09
canada victoria 0.00375 1.0793308148947653e-05 22.442670240498014 6.172110226621129e-05
canada weapon 0.0 0.0 0 7.158571533432729e-09
canada defence 0.0 0.0 0 1.5033000220208733e-08
candidates collections 0.0 0.0 0 7.309623960284979e-10
candidates competitive 0.0 0.0 0 7.240008493996552e-10
candidates composition 0.0 0.0 0 7.240008493996552e-10
candidates very 0.0 0.0 0 7.393162519831094e-09
candidates couples 0.0 0.0 0 7.518470359150264e-10
candidates victoria 0.0 0.0 0 3.550388780709847e-09
candidates weapon 0.0 0.0 0 6.961546628842838e-10
candidates defence 0.0 0.0 0 1.4619247920569958e-09
collections competitive 0.0 0.0 0 7.171706527072056e-10
collections composition 0.0 0.0 0 7.171706527072056e-10
collections very 0.0 0.0 0 7.323415703606272e-09
collections couples 0.0 0.0 0 7.447541393497904e-10
collections victoria 0.0 0.0 0 3.516894546929565e-09
collections weapon 0.0 0.0 0 6.895871660646208e-10
collections defence 0.0 0.0 0 1.4481330487357034e-09
competitive composition 0.0 0.0 0 7.103404560147559e-10
competitive very 0.0017152658662092624 1.810806895552658e-05 8.515752702826394 3.519830646584217e-05
competitive couples 0.0 0.0 0 7.376612427845543e-10
competitive victoria 0.0 0.0 0 3.483400313149284e-09
competitive weapon 0.0 0.0 0 6.830196692449576e-10
competitive defence 0.0 0.0 0 1.4343413054144112e-09
composition very 0.0 0.0 0 7.25366888738145e-09
composition couples 0.0 0.0 0 7.376612427845543e-10
composition victoria 0.0 0.0 0 3.483400313149284e-09
composition weapon 0.0 0.0 0 6.830196692449576e-10
composition defence 0.0 0.0 0 1.4343413054144112e-09
very couples 0.0 0.0 0 7.532656152280738e-09
very victoria 0.0006361323155216285 1.8463129131125143e-06 1.9747093442762524 1.3693412323379831e-06
very weapon 0.0 0.0 0 6.974681622482164e-09
very defence 0.0 0.0 0 1.4646831407212545e-08
couples victoria 0.0048543689320388345 5.446623093681917e-05 16.07729882286608 0.0001618646825165582
couples weapon 0.0 0.0 0 7.0928965652361e-10
couples defence 0.0 0.0 0 1.4895082786995808e-09
victoria weapon 0.0 0.0 0 3.349423378028158e-09
victoria defence 0.0 0.0 0 7.03378909385913e-09
weapon defence 0.0 0.0 0 1.3791743321292416e-09
