Column,Query,Value
ndcg,1,0.3392
ndcg,2,1
ndcg,3,0.1909
ndcg,4,0.1964
ndcg,5,0.0979
ndcg,6,0.5833
ndcg,7,0.363
ndcg,8,0.4367
ndcg,9,0.1012
ndcg,10,0.3817
ndcg,11,0.5069
ndcg,12,0.5531
ndcg,13,0.2074
ndcg,14,0.1147
ndcg,15,0.1546
ndcg,16,0.1065
ndcg,17,0.2271
ndcg,18,0.0654
ndcg,19,0.3653
ndcg,20,0.7654
ndcg,21,0.2967
ndcg,22,0.5464
ndcg,23,0.1681
ndcg,24,0.2429
ndcg,25,0.1995
ndcg,26,0.428
ndcg,27,0.3006
ndcg,28,0.8688
ndcg,29,0.2818
ndcg,30,0.1391
ndcg,31,1
ndcg,32,0.7654
ndcg,33,0.3155
ndcg,36,0.2276
ndcg,37,0.1964
ndcg,38,0.2343
ndcg,39,0.3536
ndcg,40,0.1635
ndcg,42,0
ndcg,43,0.2069
ndcg,44,0.3587
ndcg,45,0.3205
ndcg,48,0
ndcg,49,0.4125
ndcg,57,1
ndcg,58,0.2806
ndcg,59,0.2681
ndcg,60,0.2123
ndcg,61,0.3674
ndcg,62,0
ndcg,63,0.4616
