Cloumn,Query,Total,Value
num_rel_ret,1,1,0.1
num_rel_ret,2,3,0.3
num_rel_ret,3,1,0.1
num_rel_ret,4,1,0.1
num_rel_ret,5,1,0.1
num_rel_ret,6,3,0.3
num_rel_ret,7,6,0.6
num_rel_ret,8,2,0.2
num_rel_ret,9,1,0.1
num_rel_ret,10,8,0.8
num_rel_ret,11,7,0.7
num_rel_ret,12,2,0.2
num_rel_ret,13,1,0.1
num_rel_ret,14,2,0.2
num_rel_ret,15,2,0.2
num_rel_ret,16,2,0.2
num_rel_ret,17,2,0.2
num_rel_ret,18,1,0.1
num_rel_ret,19,5,0.5
num_rel_ret,20,2,0.2
num_rel_ret,21,2,0.2
num_rel_ret,22,7,0.7
num_rel_ret,23,1,0.1
num_rel_ret,24,2,0.2
num_rel_ret,25,5,0.5
num_rel_ret,26,8,0.8
num_rel_ret,27,6,0.6
num_rel_ret,28,4,0.4
num_rel_ret,29,3,0.3
num_rel_ret,30,1,0.1
num_rel_ret,31,2,0.2
num_rel_ret,32,2,0.2
num_rel_ret,33,1,0.1
num_rel_ret,36,4,0.4
num_rel_ret,37,1,0.1
num_rel_ret,38,2,0.2
num_rel_ret,39,3,0.3
num_rel_ret,40,2,0.2
num_rel_ret,42,0,0
num_rel_ret,43,5,0.5
num_rel_ret,44,4,0.4
num_rel_ret,45,5,0.5
num_rel_ret,48,0,0
num_rel_ret,49,2,0.2
num_rel_ret,57,1,0.1
num_rel_ret,58,6,0.6
num_rel_ret,59,6,0.6
num_rel_ret,60,3,0.3
num_rel_ret,61,7,0.7
num_rel_ret,62,0,0
num_rel_ret,63,4,0.4
