Column,Query,Value
map,1,0.2
map,2,1
map,3,0.0833
map,4,0.0833
map,5,0.025
map,6,0.4111
map,7,0.189
map,8,0.2778
map,9,0.0278
map,10,0.2124
map,11,0.3219
map,12,0.4
map,13,0.0909
map,14,0.0303
map,15,0.045
map,16,0.0235
map,17,0.0875
map,18,0.0114
map,19,0.1806
map,20,0.6667
map,21,0.1364
map,22,0.3525
map,23,0.0625
map,24,0.094
map,25,0.0695
map,26,0.2588
map,27,0.1298
map,28,0.8
map,29,0.1211
map,30,0.0417
map,31,1
map,32,0.6667
map,33,0.125
map,36,0.0917
map,37,0.0833
map,38,0.0938
map,39,0.1667
map,40,0.0533
map,42,0
map,43,0.0694
map,44,0.1706
map,45,0.1558
map,48,0
map,49,0.25
map,57,1
map,58,0.1344
map,59,0.1169
map,60,0.0756
map,61,0.1941
map,62,0
map,63,0.2625
