Column,Query,Value
P10,1,0.1
P10,2,0.3
P10,3,0.1
P10,4,0.1
P10,5,0.1
P10,6,0.3
P10,7,0.6
P10,8,0.2
P10,9,0.1
P10,10,0.8
P10,11,0.7
P10,12,0.2
P10,13,0.1
P10,14,0.2
P10,15,0.2
P10,16,0.2
P10,17,0.2
P10,18,0.1
P10,19,0.5
P10,20,0.2
P10,21,0.2
P10,22,0.7
P10,23,0.1
P10,24,0.2
P10,25,0.5
P10,26,0.8
P10,27,0.6
P10,28,0.4
P10,29,0.3
P10,30,0.1
P10,31,0.2
P10,32,0.2
P10,33,0.1
P10,36,0.4
P10,37,0.1
P10,38,0.2
P10,39,0.3
P10,40,0.2
P10,42,0
P10,43,0.5
P10,44,0.4
P10,45,0.5
P10,48,0
P10,49,0.2
P10,57,0.1
P10,58,0.6
P10,59,0.6
P10,60,0.3
P10,61,0.7
P10,62,0
P10,63,0.4
